symbol,B80,B81,B86,B94,B95,B96,LGL030,LGL037,LGL047,LGL052,LGL141,LGL148,LGL150,LGL002,LGL018,LGL028
RHOT2,5.8604133217,6.1998435411,8.0436033585,6.3511594757,11.4124941597,13.718721431,36.9793456559,17.6910718873,17.0490400358,37.1672249826,26.2669208858,38.28384337,20.5519706721,39.7690543031,33.7385993072,39.7923977027
RSL1D1,10.4119615878,15.0371571115,9.0089335529,9.659029607,13.5097303941,9.0782418496,6.6629757468,5.4895579585,6.1303907986,4.8419699744,5.6806526347,5.6683729599,5.8657160544,5.0935855145,8.8864684812,4.5722877234
VCAN-AS1,11.9767284975,0.7490767203,1.1232402727,0.0298639285,1.2215175241,9.3660307114,0.6113072551,0.2064046546,0.1653128367,0.0621361393,0.1005795442,0.1774445159,0.0119534505,0.297329918,0.1706597974,0.1139943818
EEF1D,17.786987928,32.1115341093,24.9993120421,19.1027376771,20.5616431639,15.9094948964,14.4032692477,10.7521381215,14.6981053173,11.4398793538,10.9858215996,13.1369039487,10.745334545,10.1536567623,15.4327976366,11.2913126584
CLPP,6.9436467926,8.3546322243,6.7305312219,6.2578593521,7.7460886026,4.7934936624,4.3753384804,3.6536090528,4.0613665953,3.9609031613,2.3236763099,3.1952820292,4.4870692965,4.8194687553,4.2943297416,3.4343912107
BTG2,117.7115735301,74.3871614779,70.5747267202,94.4042589923,76.5954754999,98.2608814401,37.2742371666,55.5288561145,42.7014502417,26.5862564537,18.9646812601,22.0127272399,29.2355691688,45.4825450055,20.9459667584,22.317438728
LYZ,2152.0179770999,350.1855823252,159.6412261164,50.297437958,97.9968381689,1457.2903494612,8.5766482648,6.7664844068,3.1177224352,0.1071471559,0.0926018518,0.13674018,0.09861644,0.5803314999,31.221237692,4.0087075895
C8orf59,0.1774946619,0.6526103753,0.3582655017,0.5759495837,0.8311885169,0.8947072643,5.6613404255,1.4683727587,3.0769081364,2.5053109125,8.9603335532,3.1845462426,1.7339668825,2.3039370029,3.2577349605,4.0834240945
IFT80,0.004503143,0.020561449,0.0049476557,0.0050478428,0.0591973167,0.0036444802,0.3655938613,0.0336241447,0.1383792398,0.1636928203,0.134232255,0.3113647317,0.0809480331,0.3756272826,0.3943901629,0.3229157795
RPL19,59.6353340156,86.4320375171,70.330914215,55.0378513243,64.6963156279,44.6562804634,41.3692814585,28.4256789577,41.1624794614,37.3288353103,31.5560906468,25.8463386142,29.0701625258,27.1856977992,46.7061773393,33.7979520046
VCAN,7.2949902034,0.6055034121,0.6677696097,0.1189540373,0.6591120442,6.0128322053,0.5192834541,0.0984781938,0.111715921,0.0589275442,0.0672091913,0.0938202208,0.0053918751,0.2465413579,0.1503231001,0.0935369263
CCNY,1.3020126979,1.1645086973,1.0857003466,0.9388104288,1.1517395818,1.1859683214,0.7280942508,0.7414105368,0.5411286966,0.4923450616,0.6717084462,0.5309003498,0.6018791135,0.7849077383,0.8012404805,0.4757818717
SMIM10L1,8.3628691046,9.0842618227,9.8094334995,8.5908861227,6.0463699928,5.0404565993,5.5544919619,3.0276869048,5.0077362197,3.9014816049,4.0807596759,4.0127522042,4.8660481992,3.4224480991,4.0092816947,3.8885501596
SNN,10.5914081657,1.9640527514,7.5965039234,3.0134929668,3.7218964126,10.8781459285,1.5490625862,1.2438950525,0.1203442266,0.3504152655,1.1909908776,0.1053998779,0.7992323526,0.6978893404,0.4404798824,1.2851949468
RPL18A,44.9460897345,61.8753834296,46.3400802721,39.9425870878,45.4311725113,32.9331600205,29.1626483116,20.4782989725,31.5458863232,24.4481725696,19.5802901353,20.2069127974,21.922011714,20.1456584005,34.6554983822,24.8192279219
LAPTM5,53.8565953075,35.7054194271,56.2909678946,38.1285443232,34.5895938639,56.3744378905,16.592176233,26.5470437042,22.8979995784,25.7270321465,9.4574708001,18.7258283449,22.613540274,17.6379967583,20.160756384,19.9029482772
C1orf112,2.5529207446,1.4297413266,1.9612580049,1.0404661323,3.1853095131,2.7137108054,0.5082492762,0.3058602125,1.0760743718,0.7497105526,0.1121913918,0.2101720282,0.3739952777,0.544856089,0.2260900479,0.6227691416
AAR2,3.1489007033,6.0702060272,2.7842939688,4.5992100112,3.0507889925,3.2474808976,2.6276385705,2.3089120515,1.5963965956,1.3191647352,1.8405995943,1.713181143,1.8820143158,1.5984233056,1.9437843974,1.4131098191
NUDT15,4.4325866371,4.1262201018,6.7299536461,7.3298647871,6.7780678796,4.1403327838,3.7390056858,0.8032130898,2.4312545282,1.8950311375,1.5833378705,1.4319596201,1.0762063104,1.1378962632,2.7769406339,1.4739051465
CEP290,0.0143075099,0.1452745518,0.1116383563,0.1424008595,0.0481896205,0.0515679236,0.2237011431,0.3619247037,0.469596822,0.7768011505,0.7483183719,0.6320769181,0.3766492561,0.888911626,0.3439898551,0.5169910656
